"LEMAIRE, Henri"; 
"DANTAL, Charles"; 
"DECAMBON VAN DER WERKEN, Maria Gertruida t"; 
"DIDOT, Pierre"; 
"DUPLESSIS, chevalier Pierre"; 
"FLORIAN, Jean-Pierre"; 
"GAUTHIER, madame de"; 
"HELME, Elizabeth"; 
"HUGHES, Mrs Anne"; 
"LESUIRE, Robert-Martin"; 
"LOUVET DE COUVRAY, Jean-Baptiste"; 
"MAYER, Charles-Joseph de"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"PRATT, Samuel Jackson"; 
"RASPE, Rudolf Erich"; 
"REEVE, Mrs Gara"; 
"RONESSE, Jacques-Hippolyte"; 
"SAINT-PIERRE, Jacques-Henri"; 
"STETTEN, Paul von"; 
"BAGE, Robert"; 
"BENNETT, Agnes Maria"; 
"BENNETT, Agnes Maria"; 
"BERKELEY, George Monck"; 
"BILDERBECK, baron Ludwig Benedict Franz von"; 
"BLOWER, Elizabeth"; 
"BONHOTE, Mrs Elizabeth"; 
"BRICAIRE DE LA DIXMERIE, Nicolas"; 
"CAZOTTE, Jacques et des AUTEURS INCONNUS t"; 
"CAZOTTE, Jacques"; 
"DAUBENTON, Marguerite"; 
"FANTIN-DESODOARDS, Antoine-Etienne-Nicolas"; 
"FLORIAN, Jean-Pierre"; 
"FONTETTE DE SOMMERY, mademoiselle"; 
"FUMELH, madame de"; 
"GODWIN, William"; 
"GOLDSMITH, Oliver"; 
"GORJY, Jean-Claude"; 
"GRIFFITH, Mrs Elizabeth"; 
"HAWKE, lady Cassandra"; 
"HAYLEY, William"; 
"HELME, Elizabeth"; 
"HERIOT, John"; 
"HERVEY, Elizabeth"; 
"HOWELL, Mrs"; 
"HUGHES, Mrs Anne"; 
"JOHNSTON, Charles"; 
"KEIR, Mrs"; 
"LA PLACE, Pierre-Antoine de"; 
"LEE, Harriet"; 
"LESUIRE, Robert-Martin"; 
"LE VACHER DE CHARNOIS, Jean-Charles"; 
"LOUVET DE COUVRAY, Jean-Baptiste"; 
"MAIMIEUX, Joseph de"; 
"MAIMIEUX, Joseph de"; 
"MAYER, Charles-Joseph de"; 
"PARENT, madame"; 
"SAUTREAU DE MARSY, Claude-Sixte"; 
"SCHEL, Alexandre de"; 
"SCHULZ, Joachim Christoph Friedrich"; 
"SOAVE, Francesco"; 
"TRIMMER, Sarah"; 
"WERTHES, Friedrich August Clemens"; 
"WIESENHUETTEN, Frederike"; 
"CHIARI, Pietro"; 
"CUMBERLAND, Richard"; 
"DECREMPS, Henri"; 
"DELLECOURT, Philippe-Joseph"; 
"DEVAINES, Jean"; 
"DIDOT, Pierre"; 
"DUPLESSIS, chevalier Pierre"; 
